forest-deciduous,1
forest-evergreen,2
forest-mixed,3
forest-unknown,4
forest-scattered,5
forest-brush/thicket,6
vineyard,7
cane,8
grassland-tropical,9
orchard-cropland,10
orchard-other,11
orchard-permanent-irrigation, 12
trees-row,13
hedgerow,14
tree-deciduous,15
tree-evergreen,16
tree-other,17
